"sample.id","lab.id.x","method","cas.number","analyte","result","units","dilution","result.reported.to","mdl","rl","non.detect","duplicate","location.name","treatment.name","method.name","event.type","event.count","collected","received","flag"
"AV-CT1-03-OT-LC-D","HS23080215-02","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.635,"mg/L",1,"RL",0.02,0.05,FALSE,TRUE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC-D","HS23080215-02","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",792,"mg/L",1,"RL",5,10,FALSE,TRUE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC","HS23080215-03","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",13,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC","HS23080215-03","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",2.53,"mg/L",1,"RL",0.03,0.1,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC","HS23080215-03","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC","HS23080215-03","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC","HS23080215-03","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.271,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC","HS23080215-03","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",796,"mg/L",1,"RL",5,10,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC-D","HS23080215-04","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",12,"mg/L",1,"RL",0.1,0.5,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC-D","HS23080215-04","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",2.53,"mg/L",1,"RL",0.03,0.1,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC-D","HS23080215-04","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC-D","HS23080215-04","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC-D","HS23080215-04","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.276,"mg/L",1,"RL",0.02,0.05,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT2-03-OT-LC-D","HS23080215-04","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",790,"mg/L",1,"RL",5,10,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC","HS23080215-05","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",39,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC","HS23080215-05","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",2.75,"mg/L",1,"RL",0.03,0.1,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC","HS23080215-05","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC","HS23080215-05","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.057,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC","HS23080215-05","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.471,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC","HS23080215-05","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",786,"mg/L",1,"RL",5,10,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC-D","HS23080215-06","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",41,"mg/L",1,"RL",0.1,0.5,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC-D","HS23080215-06","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",2.74,"mg/L",1,"RL",0.03,0.1,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC-D","HS23080215-06","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC-D","HS23080215-06","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.055,"mg/L",1,"RL",0.01,0.05,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC-D","HS23080215-06","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.357,"mg/L",1,"RL",0.02,0.05,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-LC-D","HS23080215-06","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",796,"mg/L",1,"RL",5,10,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC","HS23080215-07","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",37,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC","HS23080215-07","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",2.53,"mg/L",1,"RL",0.03,0.1,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC","HS23080215-07","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC","HS23080215-07","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.064,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC","HS23080215-07","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.352,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC","HS23080215-07","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",800,"mg/L",1,"RL",5,10,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC-D","HS23080215-08","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",48,"mg/L",1,"RL",0.1,0.5,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC-D","HS23080215-08","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",2.52,"mg/L",1,"RL",0.03,0.1,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC-D","HS23080215-08","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC-D","HS23080215-08","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.069,"mg/L",1,"RL",0.01,0.05,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC-D","HS23080215-08","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.309,"mg/L",1,"RL",0.02,0.05,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-ST2-03-OT-ISC-D","HS23080215-08","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",798,"mg/L",1,"RL",5,10,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-01-OT-LC-4",NA,"EPA150.1",NA,"pH",7.8,"pH",1,"RL",0.1,0.1,FALSE,FALSE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT1-01-OT-LC-4",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",2183.33333333333,NA,1,"RL",2.5,2.5,FALSE,FALSE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT1-01-OT-LC-4",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.713,NA,1,"RL",5,5,FALSE,FALSE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT1-01-OT-LC-4-D",NA,"EPA150.1",NA,"pH",7.79,"pH",1,"RL",0.1,0.1,FALSE,TRUE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT1-01-OT-LC-4-D",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",2123.33333333334,NA,1,"RL",2.5,2.5,FALSE,TRUE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT1-01-OT-LC-4-D",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.723,NA,1,"RL",5,5,FALSE,TRUE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST1-01-OT-LC-4",NA,"EPA150.1",NA,"pH",7.88,"pH",1,"RL",0.1,0.1,FALSE,FALSE,"AVRC STAR","ST1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST1-01-OT-LC-4",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",2390,NA,1,"RL",2.5,2.5,FALSE,FALSE,"AVRC STAR","ST1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST1-01-OT-LC-4",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.802,NA,1,"RL",5,5,FALSE,FALSE,"AVRC STAR","ST1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST1-01-OT-LC-4-D",NA,"EPA150.1",NA,"pH",7.94,"pH",1,"RL",0.1,0.1,FALSE,TRUE,"AVRC STAR","ST1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST1-01-OT-LC-4-D",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",2360,NA,1,"RL",2.5,2.5,FALSE,TRUE,"AVRC STAR","ST1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST1-01-OT-LC-4-D",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.804,NA,1,"RL",5,5,FALSE,TRUE,"AVRC STAR","ST1","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-LC-4",NA,"EPA150.1",NA,"pH",8.05,"pH",1,"RL",0.1,0.1,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-LC-4",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",1283.33333333333,NA,1,"RL",2.5,2.5,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-LC-4",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.762,NA,1,"RL",5,5,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-LC-4-D",NA,"EPA150.1",NA,"pH",8.01,"pH",1,"RL",0.1,0.1,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-LC-4-D",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",1403.33333333333,NA,1,"RL",2.5,2.5,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-LC-4-D",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.748,NA,1,"RL",5,5,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT2-01-OT-LC-4",NA,"EPA150.1",NA,"pH",8.06,"pH",1,"RL",0.1,0.1,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT2-01-OT-LC-4",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",1413.33333333333,NA,1,"RL",2.5,2.5,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT2-01-OT-LC-4",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.756,NA,1,"RL",5,5,FALSE,FALSE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT2-01-OT-LC-4-D",NA,"EPA150.1",NA,"pH",8.03,"pH",1,"RL",0.1,0.1,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT2-01-OT-LC-4-D",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",1453.33333333334,NA,1,"RL",2.5,2.5,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-CT2-01-OT-LC-4-D",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.753,NA,1,"RL",5,5,FALSE,TRUE,"AVRC STAR","CT2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-ISC-4",NA,"EPA150.1",NA,"pH",7.93,"pH",1,"RL",0.1,0.1,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-ISC-4",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",3219.99999999999,NA,1,"RL",2.5,2.5,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-ISC-4",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.825,NA,1,"RL",5,5,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-ISC-4-D",NA,"EPA150.1",NA,"pH",7.99,"pH",1,"RL",0.1,0.1,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-ISC-4-D",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",1963.33333333333,NA,1,"RL",2.5,2.5,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-ST2-01-OT-ISC-4-D",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.82,NA,1,"RL",5,5,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-01-IN-GB-4",NA,"EPA150.1",NA,"pH",8.03,"pH",1,"RL",0.1,0.1,FALSE,FALSE,"AVRC STAR",NA,"ISCO","Inflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-01-IN-GB-4",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",1496.66666666667,NA,1,"RL",2.5,2.5,FALSE,FALSE,"AVRC STAR",NA,"ISCO","Inflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-01-IN-GB-4",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.974,NA,1,"RL",5,5,FALSE,FALSE,"AVRC STAR",NA,"ISCO","Inflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-01-IN-GB-4-D",NA,"EPA150.1",NA,"pH",8.03,"pH",1,"RL",0.1,0.1,FALSE,TRUE,"AVRC STAR",NA,"ISCO","Inflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-01-IN-GB-4-D",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",1463.33333333334,NA,1,"RL",2.5,2.5,FALSE,TRUE,"AVRC STAR",NA,"ISCO","Inflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
"AV-01-IN-GB-4-D",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.964,NA,1,"RL",5,5,FALSE,TRUE,"AVRC STAR",NA,"ISCO","Inflow","Irrigation 1",2023-06-15 00:00:00,NA,NA
